"ord_nmbr","Date","SRCH","cnt"
1,2022-04-01,звезды в африке,69
2,2022-04-01,"",67
3,2022-04-01,соловьев,51
4,2022-04-01,соловьев лайф,34
5,2022-04-01,холостяк,33
6,2022-04-01,соловьев live,30
7,2022-04-01,"60 минут",29
8,2022-04-01,изолента,27
9,2022-04-01,"звезды в африке, 2 сезон, 4 выпуск",25
10,2022-04-01,сваты 7,22
11,2022-04-01,наше дело,21
12,2022-04-01,лексус и вован,21
13,2022-04-01,smotra,18
14,2022-04-01,"звезды в африке, 2 сезон, 5 выпуск",17
15,2022-04-01,россия 24,14
16,2022-04-01,вован и лексус,14
17,2022-04-01,новости,14
18,2022-04-01,soloviev.live,13
19,2022-04-01,"звезды в африке, 2 сезон, 2 выпуск",13
20,2022-04-01,луномосик,11
21,2022-04-01,россия 1,11
22,2022-04-01,звезды в африке 1 сезон,10
23,2022-04-01,соловьев в ярости. сатановский о войне с западом,10
24,2022-04-01,вечер с владимиром соловьевым,10
25,2022-04-01,роскосмос,10
26,2022-04-01,"холостяк, 9 сезон, 3 выпуск",9
27,2022-04-01,соловьев лайв,9
28,2022-04-01,"звезды в африке, 2 сезон, 3 выпуск",9
29,2022-04-01,мужское женское,9
30,2022-04-01,smotratv,9
31,2022-04-01,украина,9
32,2022-04-01,d3,9
33,2022-04-01,вечер с владимиром соловьевым 28.03.22 концовка,8
34,2022-04-01,вампиры средней полосы. 2021. смотрите серии сериала о клане кровопийц из смоленска..mp4,8
35,2022-04-01,"звезды в африке, 2 сезон, 1 выпуск",8
36,2022-04-01,чикатило 2 сезон,8
37,2022-04-01,а4,8
38,2022-04-01,чикатило,8
39,2022-04-01,давидыч,7
40,2022-04-01,импровизация,7
41,2022-04-01,украина ру,7
42,2022-04-01,однажды в россии,7
43,2022-04-01,чикатило 2 сезон 3 серия,7
44,2022-04-01,жорик вартанов,7
45,2022-04-01,подоляка,6
46,2022-04-01,рбк,6
47,2022-04-01,россия 24. последние новости россии и мира,6
48,2022-04-01,порно,6
49,2022-04-01,звезды в африке 2 сезон,6
50,2022-04-01,☣️изолента live,6
51,2022-04-01,ukraine,6
52,2022-04-01,гаспарян,5
53,2022-04-01,путин,5
54,2022-04-01,звезды в африке 1 сезон  1 серия,5
55,2022-04-01,россия 1. прямой эфир,5
56,2022-04-01,кедми,5
57,2022-04-01,вампиры средней полосы,5
58,2022-04-01,зона комфорта,5
59,2022-04-01,камеди клаб,5
60,2022-04-01,звезды в африке 2 сезон 6 выпуск,5
61,2022-04-01,"холостяк, 9 сезон, 1 выпуск",4
62,2022-04-01,новости&created=day,4
63,2022-04-01,последний богатырь 3  посланник тьмы (2021),4
64,2022-04-01,вечер с владимиром соловьевым. спецвыпуск от_22.03.16,4
65,2022-04-01,мариуполь,4
66,2022-04-01,«место встречи»: урок русофобии?! (31.03.2022),4
67,2022-04-01,музыка,4
68,2022-04-01,вечер с владимиром,4
69,2022-04-01,"подоляка юрий последние новости сегодня 27 марта 2022 года, смотреть онлайн юрий подоляка",4
70,2022-04-01,rt,4
71,2022-04-01,вечер с владимиром соловьевым убит олесь бузина,4
72,2022-04-01,соловьев ,4
73,2022-04-01,metal family,4
74,2022-04-01,гордей,4
75,2022-04-01,формула смысла,4
76,2022-04-01,зона комфорта 2.,4
77,2022-04-01,янычар 11 серия,4
78,2022-04-01,"360",4
79,2022-04-01,михаил советский,3
80,2022-04-01,место встречи,3
81,2022-04-01,шерегеш,3
82,2022-04-01,война,3
83,2022-04-01,вести,3
84,2022-04-01,вечер с соловьевым,3
85,2022-04-01,вампиры средней полосы 5 серия,3
86,2022-04-01,юрий подоляка последние новости сегодня в ночь на 27 марта 2022 года - %22мир с юрием подолякой%22,3
87,2022-04-01,зона комфорта 2 сезон,3
88,2022-04-01,политвера,3
89,2022-04-01,мультфильмы,3
90,2022-04-01,полный контакт | соловьев live | 9 марта 2022 года,3
91,2022-04-01,дима гордей,3
92,2022-04-01,холостяк 8 сезон,3
93,2022-04-01,ольга матвей,3
94,2022-04-01,минобороны,3
95,2022-04-01,на ножах,3
96,2022-04-01,осташко,3
97,2022-04-01,эйфория 2 сезон 4 серия,3
98,2022-04-01,лексус и вован о разговоре с главой нато и порошенко,3
99,2022-04-01,новости сегодня,3
100,2022-04-01,янычар 1-12 серия. детектив 2022 на первом. дата выхода - сюжет,3
101,2022-04-01,янычар 10 серия,3
102,2022-04-01,рецепты будницкий,3
103,2022-04-01,бесогон,3
104,2022-04-01,полный контакт 1 апреля,3
105,2022-04-01,"подоляка юрий последние новости сегодня 27 марта 2022 года, смотреть онлайн юрий подоляка ",3
106,2022-04-01,большая игра,3
107,2022-04-01,зона комфорта 2,3
108,2022-04-01,"воскресный вечер с владимиром соловьевым 31.08.2014, часть ii",3
109,2022-04-01,мультиварка,3
110,2022-04-01,янычар 9 серия,3
111,2022-04-01,зона комфорта 2 сезон 1 серия,3
112,2022-04-01,soloviev live,3
113,2022-04-01,цска,3
114,2022-04-01,хазин,3
115,2022-04-01,роскосмос ,3
116,2022-04-01,полный контакт,3
117,2022-04-01,следствие вели,3
118,2022-04-01,звезды в африке 2 сезон 6,3
119,2022-04-01,сваты 7 серия 7,3
120,2022-04-01,минобороны россии,3
121,2022-04-01,холостяк 9,3
122,2022-04-01,апокалипсис спас андрей ткачев,3
123,2022-04-01,нтв,3
124,2022-04-01,куплинов,3
125,2022-04-01,лунамосик,3
126,2022-04-01,ztv,3
127,2022-04-01,день тв,3
128,2022-04-01,жди меня,3
129,2022-04-01,дудь,3
130,2022-04-01,навальный,3
131,2022-04-01,эйфория 2 сезон 8 серия,3
132,2022-04-01,тумка,2
133,2022-04-01,утренние молитвы,2
134,2022-04-01,в клетке 2,2
135,2022-04-01,открытый микрофон,2
136,2022-04-01,импровизация команды,2
137,2022-04-01,://rutube.dev/video/ef5bfbfec591cf90f7356c03a3d48b2d/,2
138,2022-04-01,люди у которых клюет,2
139,2022-04-01,"60 минут по горячим следам от 01.09.2017",2
140,2022-04-01,минобороны рф,2
141,2022-04-01,porno,2
142,2022-04-01,сваты 7 3 серия,2
143,2022-04-01,"юрий подоляка последние новости сегодня в ночь на 31 марта 2022 года - """"мир с юрием подолякой""""""",2
144,2022-04-01,гусар ,2
145,2022-04-01,ukraine&created=day,2
146,2022-04-01,апокалипсис. 1 глава. %22чему надлежит быть вскоре…%22отец андрей ткачев и борис корчевников,2
147,2022-04-01,гусар,2
148,2022-04-01,вечер с владимиром соловьевым 31.03.22,2
149,2022-04-01,формула смысла 1 апреля,2
150,2022-04-01,марина кравец,2
151,2022-04-01,монастырская кухня,2
152,2022-04-01,"руслан осташко - работайте, братья! мотороле и всем погибшим при защите отечества посвящается",2
153,2022-04-01,вован и лексус опубликовали полную версию пранка над главой британского министерства обороны беном,2
154,2022-04-01,формула смысла | соловьев live | 1 апреля 2022 года,2
155,2022-04-01,шишонин,2
156,2022-04-01,год культуры,2
157,2022-04-01,стрелков,2
158,2022-04-01,чикатило 2 сезон 1 серия мнение,2
159,2022-04-01,секс,2
160,2022-04-01,четыре свадьбы 1 сезон 12 серия,2
161,2022-04-01,комедия,2
162,2022-04-01,красовский антонимы,2
163,2022-04-01,сваты 7. 7 серия,2
164,2022-04-01,беременна в 16,2
165,2022-04-01,гоблин,2
166,2022-04-01,первый отдел 2 сезон 1-20 серия. детектив 2022 нтв. анонс и дата выхода.,2
167,2022-04-01,последний аксель,2
168,2022-04-01,"холостяк, 9 сезон, 2 выпуск",2
169,2022-04-01,сваты 7 5,2
170,2022-04-01,обоюдное согласие,2
171,2022-04-01,вечер с соловьевым прямой эфир,2
172,2022-04-01,чебатков,2
173,2022-04-01,"16. пес 5 нтв (2020) 16 серия - новая жизнь",2
174,2022-04-01,romeo santos,2
175,2022-04-01,йога,2
176,2022-04-01,соловьев life,2
177,2022-04-01,шарий,2
178,2022-04-01,россиа 24,2
179,2022-04-01,"60 минут&created=day",2
180,2022-04-01,изолента ,2
181,2022-04-01,спутник,2
182,2022-04-01,вечер с владимиром соловьевым последний выпуск,2
183,2022-04-01,павел воля,2
184,2022-04-01,дота 2,2
185,2022-04-01,war,2
186,2022-04-01,варфейс,2
187,2022-04-01,арена,2
188,2022-04-01,шах и мат,2
189,2022-04-01,фильм небо основано на реальных событиях,2
190,2022-04-01,сваты 7 2 серия,2
191,2022-04-01,короткое слово нет,2
192,2022-04-01,сваты 7 9 серия,2
193,2022-04-01,asmr,2
194,2022-04-01,"60 минут&order_by=created_ts_up",2
195,2022-04-01,звезды в африке ,2
196,2022-04-01,"звезды в африке, 2 сезон",2
197,2022-04-01,холостяк 2 серия,2
198,2022-04-01,янычар 7-я серия 2022,2
199,2022-04-01,эйфория 2 сезон 1 серия,2
200,2022-04-01,"60 минут. удар всу по мирным жителям донецка. эфир от 14.03..mp4",2
201,2022-04-01,smotra tv,2
202,2022-04-01,сериал,2
203,2022-04-01,соловьев_ч2_дзен,2
204,2022-04-01,putin,2
205,2022-04-01,мой офис,2
206,2022-04-01,"1 канал",2
207,2022-04-01,звезды в африке 2 серия 5,2
208,2022-04-01,пробы,2
209,2022-04-01,рецепты,2
210,2022-04-01,янычар,2
211,2022-04-01,три богатыря,2
212,2022-04-01,://rutube.dev/,2
213,2022-04-01,двойной холостяк,2
214,2022-04-01,осташко важное,2
215,2022-04-01,триггер 2 сезон 9 серия реакция,2
216,2022-04-01,лена кука,2
217,2022-04-01,димаш,2
218,2022-04-01,[jkjcnzr,2
219,2022-04-01,"60 минут сегодня",2
220,2022-04-01,эйфория 2 сезон 3 серия,2
221,2022-04-01,«место встречи»: паническая атака?! (28.03.2022),2
222,2022-04-01,нтв сериалы,2
223,2022-04-01,министерство обороны,2
224,2022-04-01,антонимы!,2
225,2022-04-01,в чем сила брат,2
226,2022-04-01,сваты 7/9,2
227,2022-04-01,solovyev live,2
228,2022-04-01,аниме,2
229,2022-04-01,заезды в африке,2
230,2022-04-01,bad bunny,2
231,2022-04-01,сваты 7. 3 серия.,2
232,2022-04-01,чикатило 2,2
233,2022-04-01,полный контакт 31.03.2022,2
234,2022-04-01,звезды в африке 2,2
235,2022-04-01,эйфория 1 сезон 3 серия,2
236,2022-04-01,halo 2 серия,2
237,2022-04-01,сериал дорогой мой человек,2
238,2022-04-01,изолента live,2
239,2022-04-01,сваты 7. 1 серия.,2
240,2022-04-01,кто против,2
241,2022-04-01,невероятно интересные истории,2
242,2022-04-01,юрий подоляка,2
243,2022-04-01,центр образования самсон,2
244,2022-04-01,izolenta,2
245,2022-04-01,я краснею ( мультфильм 2022 ),2
246,2022-04-01,wargonzo,2
247,2022-04-01,лексус вован,2
248,2022-04-01,проект украина (2015) часть - 1.  фильм андрея медведева,2
249,2022-04-01,вечер с владимиром соловьевым ,2
250,2022-04-01,davidich,2
251,2022-04-01,майни,2
252,2022-04-01,стройка,2
253,2022-04-01,"российские сериалы 2021 года, которые стоит посмотреть",2
254,2022-04-01,жекич дубровский,2
255,2022-04-01,мардан,2
256,2022-04-01,богиня шопинга,2
257,2022-04-01,rossia 24,2
258,2022-04-01,confessions intimes,2
259,2022-04-01,эйфория 1 сезон,2
260,2022-04-01,смотра,2
261,2022-04-01,лен ру,2
262,2022-04-01,секрет на миллион,2
263,2022-04-01,"богиня шопинга, 2 сезон, 2 серия",2
264,2022-04-01,вампиры средней полосы 6 серия,2
265,2022-04-01,«итоги недели» с ирадой зейналовой. выпуск от 13 марта 2022 года,2
266,2022-04-01,янычар 11,2
267,2022-04-01,универ,2
268,2022-04-01,давидыч ,2
269,2022-04-01,"гаспарян: блокировка sputnik, запрет российской икры и водки в сша и новые угрозы ес",2
270,2022-04-01,a4,2
271,2022-04-01,звезды в африке 5 выпуск,2
272,2022-04-01,фильм,2
273,2022-04-01,место встречи 31.03.2022,2
274,2022-04-01,вечер с владимиром соловьевым от 31.03.2022,2
275,2022-04-01,украина.ру,2
276,2022-04-01,что было дальше,2
277,2022-04-01,се,2
278,2022-04-01,первый канал,2
279,2022-04-01,игорь стрелков,2
280,2022-04-01,давид,2
281,2022-04-01,stasyq,2
282,2022-04-01,формула мести,2
283,2022-04-01,янычар 11-12 серия финал. историческая драма 2022 на первом. дата выхода - сюжет,2
284,2022-04-01,юрий подоляка – юрий уваров: как можно выиграть информационную войну,2
285,2022-04-01,izolentalive,2
286,2022-04-01,+,2
287,2022-04-01,владимир соловьев,2
288,2022-04-01,шульман,2
289,2022-04-01,тнт,2
290,2022-04-01,вязание,2
291,2022-04-01,mesto vstrechi,1
292,2022-04-01,учебные видео по сварке,1
293,2022-04-01,deutsch  ukraine,1
294,2022-04-01,йога chilelavida елена малова,1
295,2022-04-01,михаил онуфриенко,1
296,2022-04-01,the putin interviews oliver stone,1
297,2022-04-01,женский стендап,1
298,2022-04-01,vovan lexus,1
299,2022-04-01,пранк министра обороны великобритании,1
300,2022-04-01,ffgtv,1
301,2022-04-01,"1канао",1
302,2022-04-01,радиовести фм,1
303,2022-04-01,garag,1
304,2022-04-01,опущение почек. массаж поясницы,1
305,2022-04-01,"танцы: макс нестерович и екатерина решетникова (юлианна караулова – внеорбитные) (сезон 2, серия 18)",1
306,2022-04-01,curi curi cinta episod 6,1
307,2022-04-01,реализация фильм,1
308,2022-04-01,crot,1
309,2022-04-01,banda charneca,1
310,2022-04-01,мультики,1
311,2022-04-01,звезды в африке 2 сезон 2 серия,1
312,2022-04-01,артем качер live,1
313,2022-04-01,tempo amén ,1
314,2022-04-01,порка,1
315,2022-04-01,"гусар, 2 серия",1
316,2022-04-01,лига плохих шуток,1
317,2022-04-01,мусульманские фильмы,1
318,2022-04-01,янычар 1-я серия 2022,1
319,2022-04-01,вести фм&order_by=created_ts_up,1
320,2022-04-01,higurashi,1
321,2022-04-01,el sol,1
322,2022-04-01,match tv,1
